iter	Passed	Remaining
0	251	185560
1	461	170228
2	680	167166
3	862	158754
4	1048	154101
5	1229	150363
6	1409	147575
7	1617	148045
8	1827	148410
9	1990	145331
10	2176	144230
11	2358	143087
12	2527	141347
13	2712	140668
14	2906	140476
15	3069	138914
16	3258	138577
17	3439	137944
18	3637	138049
19	3814	137328
20	4016	137518
21	4221	137769
22	4489	139942
23	4697	140133
24	4886	139755
25	5074	139352
26	5264	139023
27	5439	138314
28	5635	138165
29	5833	138063
30	6026	137836
31	6209	137378
32	6411	137357
33	6574	136514
34	6755	136074
35	6929	135519
36	7102	134951
37	7298	134834
38	7505	134903
39	7802	136538
40	8090	137926
41	8437	140218
42	8702	141063
43	8984	142114
44	9208	142216
45	9431	142289
46	9656	142383
47	9903	142777
48	10176	143510
49	10443	144120
50	10675	144226
51	10872	143854
52	11089	143744
53	11387	144659
54	11711	145866
55	11987	146417
56	12324	147678
57	12558	147672
58	12821	147992
59	13055	147960
60	13306	148114
61	13573	148437
62	13835	148677
63	14038	148284
64	14271	148206
65	14497	148048
66	14826	148932
67	15148	149707
68	15375	149518
69	15569	149019
70	15816	149034
71	16075	149145
72	16295	148888
73	16573	149162
74	16817	149117
75	17017	148676
76	17249	148527
77	17431	147947
78	17634	147550
79	18050	148912
80	18279	148717
81	18465	148175
82	18656	147676
83	18832	147074
84	19024	146601
85	19192	145954
86	19366	145356
87	19558	144910
88	19762	144556
89	19987	144355
90	20190	143999
91	20395	143657
92	20599	143309
93	20792	142891
94	21003	142605
95	21256	142598
96	21563	142938
97	21798	142800
98	22012	142527
99	22273	142550
100	22553	142689
101	22844	142891
102	23117	142969
103	23377	142964
104	23591	142674
105	23885	142862
106	24339	143989
107	24676	144404
108	24954	144464
109	25265	144701
110	25613	145140
111	25929	145392
112	26248	145644
113	26582	145971
114	26836	145852
115	27056	145547
116	27279	145257
117	27502	144973
118	27815	145153
119	28135	145364
120	28425	145416
121	28662	145191
122	28928	145114
123	29212	145119
124	29401	144655
125	29568	144089
126	29745	143573
127	29955	143225
128	30148	142796
129	30306	142208
130	30485	141724
131	30699	141402
132	30934	141183
133	31124	140757
134	31303	140285
135	31500	139898
136	31718	139606
137	32017	139670
138	32184	139156
139	32338	138592
140	32521	138159
141	32715	137775
142	32927	137466
143	33143	137177
144	33342	136817
145	33532	136424
146	33710	135989
147	33888	135555
148	34138	135406
149	34347	135102
150	34544	134745
151	34725	134331
152	34899	133893
153	35065	133431
154	35222	132934
155	35387	132477
156	35565	132068
157	35734	131628
158	35928	131286
159	36107	130888
160	36371	130803
161	36612	130629
162	36817	130330
163	36978	129876
164	37150	129464
165	37329	129078
166	37524	128752
167	37696	128347
168	37890	128021
169	38105	127766
170	38287	127400
171	38449	126973
172	38632	126615
173	38791	126184
174	38978	125845
175	39152	125464
176	39338	125127
177	39519	124774
178	39678	124355
179	39843	123956
180	40014	123581
181	40191	123225
182	40366	122862
183	40551	122535
184	40756	122269
185	40948	121964
186	41132	121638
187	41317	121313
188	41480	120930
189	41695	120697
190	41894	120419
191	42061	120049
192	42226	119679
193	42423	119397
194	42621	119121
195	42816	118836
196	42995	118511
197	43194	118240
198	43366	117896
199	43540	117560
200	43726	117257
201	43901	116924
202	44111	116689
203	44284	116356
204	44459	116027
205	44632	115698
206	44831	115436
207	45002	115103
208	45191	114817
209	45381	114533
210	45558	114219
211	45776	114008
212	45951	113693
213	46130	113385
214	46314	113092
215	46470	112733
216	46655	112447
217	46855	112196
218	47042	111913
219	47205	111575
220	47393	111300
221	47561	110977
222	47746	110694
223	47903	110348
224	48167	110250
225	48406	110091
226	48579	109786
227	48737	109445
228	48930	109186
229	49103	108881
230	49280	108587
231	49449	108276
232	49636	108006
233	49782	107649
234	49954	107349
235	50131	107060
236	50301	106757
237	50491	106498
238	50661	106197
239	50854	105946
240	51034	105669
241	51190	105342
242	51355	105036
243	51553	104796
244	51730	104515
245	51904	104230
246	52070	103930
247	52253	103664
248	52454	103434
249	52636	103167
250	52813	102891
251	52979	102595
252	53159	102327
253	53337	102054
254	53532	101817
255	53688	101505
256	53857	101218
257	54048	100974
258	54238	100728
259	54423	100473
260	54614	100231
261	54793	99967
262	54969	99697
263	55147	99432
264	55318	99156
265	55497	98894
266	55664	98610
267	55879	98414
268	56037	98118
269	56222	97869
270	56402	97611
271	56572	97338
272	56758	97092
273	56946	96850
274	57134	96609
275	57304	96338
276	57462	96046
277	57615	95750
278	57765	95447
279	57947	95200
280	58117	94932
281	58295	94678
282	58474	94426
283	58648	94167
284	58837	93933
285	59013	93679
286	59179	93408
287	59360	93163
288	59526	92894
289	59703	92644
290	59989	92561
291	60182	92334
292	60357	92080
293	60545	91848
294	60740	91625
295	60900	91350
296	61069	91089
297	61247	90844
298	61440	90620
299	61616	90371
300	61807	90144
301	61981	89893
302	62209	89721
303	62389	89479
304	62577	89250
305	62750	88999
306	62908	88727
307	63097	88500
308	63292	88281
309	63473	88044
310	63641	87789
311	63806	87529
312	63961	87256
313	64255	87174
314	64447	86953
315	64606	86687
316	64798	86466
317	64971	86219
318	65142	85972
319	65296	85701
320	65450	85431
321	65607	85166
322	65792	84939
323	65965	84696
324	66120	84431
325	66303	84201
326	66479	83962
327	66660	83732
328	66853	83516
329	67024	83273
330	67199	83034
331	67362	82782
332	67538	82547
333	67720	82318
334	67899	82087
335	68077	81854
336	68239	81604
337	68408	81361
338	68566	81107
339	68725	80853
340	68893	80611
341	69053	80360
342	69233	80133
343	69418	79912
344	69607	79695
345	69789	79471
346	69963	79238
347	70145	79014
348	70324	78787
349	70473	78528
350	70647	78295
351	70829	78073
352	70985	77822
353	71156	77588
354	71339	77368
355	71517	77142
356	71695	76916
357	71883	76702
358	72061	76477
359	72245	76259
360	72416	76027
361	72574	75782
362	72767	75574
363	72924	75329
364	73076	75078
365	73230	74831
366	73397	74597
367	73582	74382
368	73757	74156
369	73941	73941
370	74132	73732
371	74291	73492
372	74469	73271
373	74651	73054
374	74822	72827
375	74985	72592
376	75139	72349
377	75338	72149
378	75527	71940
379	75690	71706
380	75887	71505
381	76064	71285
382	76231	71056
383	76417	70845
384	76593	70624
385	76785	70419
386	76949	70189
387	77132	69975
388	77311	69758
389	77471	69526
390	77659	69317
391	78056	69294
392	78229	69072
393	78417	68863
394	78584	68637
395	78788	68442
396	78954	68214
397	79120	67987
398	79316	67787
399	79491	67568
400	79671	67353
401	79829	67120
402	80037	66929
403	80229	66725
404	80420	66520
405	80598	66304
406	80792	66103
407	80965	65883
408	81150	65673
409	81345	65473
410	81518	65254
411	81688	65033
412	81853	64809
413	82035	64598
414	82203	64376
415	82365	64149
416	82551	63942
417	82726	63726
418	82907	63516
419	83071	63292
420	83269	63094
421	83434	62872
422	83615	62662
423	83807	62460
424	83983	62246
425	84183	62050
426	84347	61828
427	84507	61603
428	84660	61373
429	84832	61158
430	85044	60971
431	85218	60757
432	85386	60539
433	85556	60323
434	85748	60122
435	85927	59912
436	86106	59703
437	86291	59497
438	86457	59279
439	86638	59071
440	86826	58869
441	86966	58633
442	87143	58423
443	87323	58215
444	87484	57995
445	87642	57773
446	87827	57569
447	88006	57361
448	88183	57152
449	88353	56939
450	88522	56725
451	88689	56510
452	88868	56303
453	89022	56080
454	89178	55858
455	89343	55643
456	89499	55423
457	89665	55209
458	89824	54990
459	90002	54784
460	90171	54572
461	90330	54354
462	90507	54147
463	90687	53943
464	90872	53741
465	91040	53530
466	91222	53327
467	91376	53107
468	91550	52899
469	91720	52690
470	91894	52483
471	92101	52295
472	92268	52083
473	92440	51876
474	92637	51682
475	92813	51476
476	92997	51275
477	93153	51058
478	93326	50852
479	93519	50656
